country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Guinea Bissau	GNB	Africa	1967998	cases	24.0	2022-20	1.6768309723892	8246	Epidemic intelligence national data		2022-05-29
Guinea Bissau	GNB	Africa	1967998	deaths	0.0	2022-20	0.0	171	Epidemic intelligence national data		2022-05-29
Guyana	GUY	America	786559	cases	415.0	2022-20	100.691747217946	64276	Epidemic intelligence national data		2022-05-29
Guyana	GUY	America	786559	deaths	3.0	2022-20	3.81408133401309	1231	Epidemic intelligence national data		2022-05-29
Haiti	HTI	America	11402533	cases	21.0	2022-20	0.377109191440183	30746	Epidemic intelligence national data		2022-05-29
Haiti	HTI	America	11402533	deaths	0.0	2022-20	0.0	835	Epidemic intelligence national data		2022-05-29
Holy See	VAT	Europe	809	cases	0.0	2022-20	0.0	28	Epidemic intelligence national data		2022-05-29
Holy See	VAT	Europe	809	deaths	0.0	2022-20	0.0	0	Epidemic intelligence national data		2022-05-29
Honduras	HND	America	9904608	cases	324.0	2022-20	9.00590916874247	424771	Epidemic intelligence national data		2022-05-29
Honduras	HND	America	9904608	deaths	0.0	2022-20	0.100963107272898	10896	Epidemic intelligence national data		2022-05-29
Hungary	HUN	Europe	9730772	cases	3080.0	2022-20	80.4561035856148	1917858	TESSy COVID-19		2022-05-29
Hungary	HUN	Europe	9730772	deaths	17.0	2022-20	9.45454276392459	45290	TESSy COVID-19		2022-05-29
Iceland	ISL	Europe	368792	cases	863.0	2022-20	444.966268248769	188659	TESSy COVID-19		2022-05-29
Iceland	ISL	Europe	368792	deaths	0.0	2022-20	0.0	114	TESSy COVID-19		2022-05-29
India	IND	Asia	1380004385	cases	14592.0	2022-20	2.39071704109114	43138393	Epidemic intelligence national data		2022-05-29
India	IND	Asia	1380004385	deaths	218.0	2022-20	0.265216548569155	524459	Epidemic intelligence national data		2022-05-29
Indonesia	IDN	Asia	273523621	cases	1988.0	2022-20	1.58414106399973	6052764	Epidemic intelligence national data		2022-05-29
Indonesia	IDN	Asia	273523621	deaths	76.0	2022-20	0.559366680803045	156534	Epidemic intelligence national data		2022-05-29
Iran	IRN	Asia	83992953	cases	1690.0	2022-20	6.00050339937447	7229741	Epidemic intelligence national data		2022-05-29
Iran	IRN	Asia	83992953	deaths	47.0	2022-20	1.26201063558273	141271	Epidemic intelligence national data		2022-05-29
Iraq	IRQ	Asia	40222503	cases	811.0	2022-20	4.1146121612571	2327269	Epidemic intelligence national data		2022-05-29
Iraq	IRQ	Asia	40222503	deaths	0.0	2022-20	0.0745851147055667	25216	Epidemic intelligence national data		2022-05-29
